Run Objective I0 n Rs Rsh Offset
0 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
1 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
2 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
3 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
4 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
5 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
6 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
7 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
8 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
9 7.787e-02 1.788e-06 1.324e+00 3.278e+01 4.970e+04 1.760e-03
